,Account,Date,Text,Compound,Positive,Neutral,Negative
0,@BBC,2018-03-14 17:30:00+00:00,Would you use a cup made of used chewing gum? https://t.co/3yFsUyeZAc,0.0,0.0,1.0,0.0
1,@BBC,2018-03-14 16:43:32+00:00,RT @BBCR1: Big thanks to #PiDay for giving us an excuse to re-share this video of Tom Hiddleston making it sound sexy 😍 https://t.co/1VZuCI…,0.8402,0.345,0.655,0.0
2,@BBC,2018-03-14 16:20:43+00:00,"RT @BBCTwo: In a change to tonight’s schedule, we’ll now be showing a Horizon special from 1983 looking at Stephen Hawking's extraordinary…",0.4019,0.124,0.876,0.0
3,@BBC,2018-03-14 14:38:04+00:00,"💫☄ From the behaviour of black holes to the origin of the universe, these are the discoveries that made Stephen Haw… https://t.co/Nep1Hu6Onj",0.0,0.0,1.0,0.0
4,@BBC,2018-03-14 13:24:10+00:00,"Broadcaster and comedian Jim Bowen, best known for hosting darts-based game show Bullseye in the 1980s and '90s, ha… https://t.co/4d3xxj5e3X",0.7783,0.274,0.726,0.0
5,@BBC,2018-03-14 13:00:06+00:00,"Pi(π) = the most delicious number in the known universe. 
🥧 #PiDay https://t.co/hjtJByH0XN",0.6779,0.382,0.618,0.0
6,@BBC,2018-03-14 12:49:48+00:00,"RT @BBCR1: 🏔🚴 #Gregathlon is GO! 🚴🏔

@GregJames is getting back on his bike to finish his HUGE challenge for @SportRelief. 

He starts his…",0.561,0.174,0.826,0.0
7,@BBC,2018-03-14 12:17:18+00:00,"RT @bbcgetinspired: 🔴 DANCERS NEEDED! 🔴

Do you know a dancer who would love this? 💃🕺 #TuesdayThoughts #GetInspired @birminghamcg22 #Birmin…",0.6696,0.219,0.781,0.0
8,@BBC,2018-03-14 12:12:32+00:00,RT @BBCFOUR: Ruth Ellis was only 28 when she became the last woman hanged to death in the UK – and it took place disturbingly recently. htt…,-0.802,0.0,0.769,0.231
9,@BBC,2018-03-14 12:03:05+00:00,"📚 The Bard is credited with inventing several hundred English words. 

Test your knowledge of Bard-influenced corpo… https://t.co/V3IfPC0kDm",0.3612,0.135,0.865,0.0
10,@BBC,2018-03-14 11:59:37+00:00,"RT @BBCRadio4: Here is a perfect example of Stephen Hawking's extraordinary ability to make serious science genuinely popular
A 90-second e…",0.8176,0.351,0.598,0.052
11,@BBC,2018-03-14 11:56:23+00:00,"RT @bbcthree: ""Having vitiligo is like having something that nobody else has."" https://t.co/IG2a06mxGV",0.3612,0.172,0.828,0.0
12,@BBC,2018-03-14 11:56:14+00:00,RT @bbcouch: George has autism and other health conditions - but his love of skiing is helping him take on the outside world ⛷❤️ https://t.…,0.8625,0.281,0.719,0.0
13,@BBC,2018-03-14 11:30:12+00:00,"💫 Stephen Hawking: A life in pictures.
📸 👉 https://t.co/0NOtTi7lyD https://t.co/Q1yeTunvnY",0.0,0.0,1.0,0.0
14,@BBC,2018-03-14 10:27:40+00:00,"'You could ask my dad any question.'

In memory of Stephen Hawking, here's an earlier interview with his daughter L… https://t.co/6OQlwLfg2d",0.0,0.0,1.0,0.0
